Home_Team,Away_Team,Home_Score,Away_Score,Home_xG,Away_xG,League
Manchester Utd,Fulham,1,0,2.4,0.4,Premier League
Ipswich Town,Liverpool,0,2,0.5,2.6,Premier League
Newcastle Utd,Southampton,1,0,0.3,1.8,Premier League
Everton,Brighton,0,3,0.5,1.4,Premier League
Nott'ham Forest,Bournemouth,1,1,1.3,1.2,Premier League
Arsenal,Wolves,2,0,1.2,0.5,Premier League
West Ham,Aston Villa,1,2,2.3,2.0,Premier League
Brentford,Crystal Palace,2,1,1.6,1.2,Premier League
Chelsea,Manchester City,0,2,1.0,0.8,Premier League
Leicester City,Tottenham,1,1,1.0,1.2,Premier League
Brighton,Manchester Utd,2,1,2.1,1.4,Premier League
Manchester City,Ipswich Town,4,1,3.3,0.3,Premier League
Southampton,Nott'ham Forest,0,1,0.1,2.2,Premier League
Tottenham,Everton,4,0,2.4,1.0,Premier League
Fulham,Leicester City,2,1,1.8,0.6,Premier League
Crystal Palace,West Ham,0,2,1.3,1.4,Premier League
Aston Villa,Arsenal,0,2,1.2,0.9,Premier League
Wolves,Chelsea,2,6,1.9,1.6,Premier League
Bournemouth,Newcastle Utd,1,1,2.2,1.6,Premier League
Liverpool,Brentford,2,0,2.5,0.5,Premier League
Arsenal,Brighton,1,1,2.1,1.7,Premier League
Ipswich Town,Fulham,1,1,0.4,0.9,Premier League
Nott'ham Forest,Wolves,1,1,1.0,0.7,Premier League
Brentford,Southampton,3,1,2.8,1.5,Premier League
Leicester City,Aston Villa,1,2,0.4,1.4,Premier League
Everton,Bournemouth,2,3,1.8,2.4,Premier League
West Ham,Manchester City,1,3,0.7,3.0,Premier League
Newcastle Utd,Tottenham,2,1,1.8,1.2,Premier League
Chelsea,Crystal Palace,1,1,2.4,0.5,Premier League
Manchester Utd,Liverpool,0,3,1.4,1.8,Premier League
Southampton,Manchester Utd,0,3,1.1,2.6,Premier League
Manchester City,Brentford,2,1,2.1,1.0,Premier League
Liverpool,Nott'ham Forest,0,1,0.9,0.4,Premier League
Crystal Palace,Leicester City,2,2,2.5,1.2,Premier League
Fulham,West Ham,1,1,1.5,0.8,Premier League
Brighton,Ipswich Town,0,0,1.6,0.3,Premier League
Aston Villa,Everton,3,2,2.1,0.9,Premier League
Bournemouth,Chelsea,0,1,1.7,0.8,Premier League
Tottenham,Arsenal,0,1,0.7,0.7,Premier League
Wolves,Newcastle Utd,1,2,1.2,1.5,Premier League
West Ham,Chelsea,0,3,0.9,2.2,Premier League
Tottenham,Brentford,3,1,3.5,0.8,Premier League
Aston Villa,Wolves,3,1,1.7,0.5,Premier League
Fulham,Newcastle Utd,3,1,2.2,1.5,Premier League
Southampton,Ipswich Town,1,1,2.4,1.6,Premier League
Leicester City,Everton,1,1,0.7,1.1,Premier League
Liverpool,Bournemouth,3,0,2.0,1.1,Premier League
Crystal Palace,Manchester Utd,0,0,1.0,1.6,Premier League
Brighton,Nott'ham Forest,2,2,1.0,1.4,Premier League
Manchester City,Arsenal,2,2,2.1,0.7,Premier League
Newcastle Utd,Manchester City,1,1,1.6,0.9,Premier League
Brentford,West Ham,1,1,0.4,1.0,Premier League
Everton,Crystal Palace,2,1,0.9,0.9,Premier League
Arsenal,Leicester City,4,2,4.4,0.3,Premier League
Chelsea,Brighton,4,2,4.2,1.1,Premier League
Nott'ham Forest,Fulham,0,1,0.8,1.3,Premier League
Wolves,Liverpool,1,2,0.6,2.5,Premier League
Ipswich Town,Aston Villa,2,2,1.2,0.8,Premier League
Manchester Utd,Tottenham,0,3,1.0,4.4,Premier League
Bournemouth,Southampton,3,1,1.3,0.6,Premier League
Crystal Palace,Liverpool,0,1,0.6,1.4,Premier League
Brentford,Wolves,5,3,4.2,1.0,Premier League
Leicester City,Bournemouth,1,0,0.8,2.1,Premier League
Manchester City,Fulham,3,2,1.6,2.6,Premier League
West Ham,Ipswich Town,4,1,3.6,0.6,Premier League
Arsenal,Southampton,3,1,2.8,0.6,Premier League
Everton,Newcastle Utd,0,0,0.7,2.1,Premier League
Aston Villa,Manchester Utd,0,0,0.5,0.6,Premier League
Chelsea,Nott'ham Forest,1,1,2.3,0.9,Premier League
Brighton,Tottenham,3,2,1.8,1.3,Premier League
Tottenham,West Ham,4,1,1.9,0.8,Premier League
Fulham,Aston Villa,1,3,1.8,1.6,Premier League
Ipswich Town,Everton,0,2,1.3,1.7,Premier League
Southampton,Leicester City,2,3,2.1,3.1,Premier League
Manchester Utd,Brentford,2,1,1.3,0.9,Premier League
Newcastle Utd,Brighton,0,1,2.0,1.1,Premier League
Bournemouth,Arsenal,2,0,1.8,0.7,Premier League
Wolves,Manchester City,1,2,0.8,1.6,Premier League
Liverpool,Chelsea,2,1,1.9,1.0,Premier League
Nott'ham Forest,Crystal Palace,1,0,1.7,1.0,Premier League
Leicester City,Nott'ham Forest,1,3,0.8,1.7,Premier League
Brighton,Wolves,2,2,1.3,1.3,Premier League
Manchester City,Southampton,1,0,2.9,0.2,Premier League
Brentford,Ipswich Town,4,3,4.0,1.3,Premier League
Aston Villa,Bournemouth,1,1,1.8,0.3,Premier League
Everton,Fulham,1,1,0.8,1.2,Premier League
West Ham,Manchester Utd,2,1,2.8,2.3,Premier League
Chelsea,Newcastle Utd,2,1,1.6,1.8,Premier League
Crystal Palace,Tottenham,1,0,0.8,0.7,Premier League
Arsenal,Liverpool,2,2,0.9,0.8,Premier League
Newcastle Utd,Arsenal,1,0,0.5,1.1,Premier League
Liverpool,Brighton,2,1,1.6,1.0,Premier League
Southampton,Everton,1,0,0.7,1.6,Premier League
Nott'ham Forest,West Ham,3,0,2.2,0.1,Premier League
Ipswich Town,Leicester City,1,1,1.0,1.5,Premier League
Bournemouth,Manchester City,2,1,2.0,1.6,Premier League
Wolves,Crystal Palace,2,2,1.5,2.4,Premier League
Tottenham,Aston Villa,4,1,2.4,1.8,Premier League
Manchester Utd,Chelsea,1,1,2.0,1.1,Premier League
Fulham,Brentford,2,1,1.3,0.6,Premier League
West Ham,Everton,0,0,0.8,1.1,Premier League
Crystal Palace,Fulham,0,2,1.5,1.8,Premier League
Wolves,Southampton,2,0,1.3,0.6,Premier League
Brentford,Bournemouth,3,2,1.5,2.6,Premier League
Brighton,Manchester City,2,1,2.3,2.1,Premier League
Liverpool,Aston Villa,2,0,2.0,1.2,Premier League
Tottenham,Ipswich Town,1,2,1.5,1.6,Premier League
Nott'ham Forest,Newcastle Utd,1,3,0.6,1.6,Premier League
Manchester Utd,Leicester City,3,0,0.8,0.6,Premier League
Chelsea,Arsenal,1,1,1.5,1.5,Premier League
Leicester City,Chelsea,1,2,1.1,2.7,Premier League
Aston Villa,Crystal Palace,2,2,3.0,1.3,Premier League
Fulham,Wolves,1,4,1.0,1.3,Premier League
Bournemouth,Brighton,1,2,1.6,0.9,Premier League
Arsenal,Nott'ham Forest,3,0,1.2,0.3,Premier League
Everton,Brentford,0,0,1.2,1.1,Premier League
Manchester City,Tottenham,0,4,2.1,2.5,Premier League
Southampton,Liverpool,2,3,1.3,3.1,Premier League
Ipswich Town,Manchester Utd,1,1,1.6,0.8,Premier League
Newcastle Utd,West Ham,0,2,1.6,0.9,Premier League
Brighton,Southampton,1,1,1.7,1.0,Premier League
Wolves,Bournemouth,2,4,0.5,3.3,Premier League
Nott'ham Forest,Ipswich Town,1,0,1.6,0.6,Premier League
Brentford,Leicester City,4,1,2.4,1.1,Premier League
Crystal Palace,Newcastle Utd,1,1,1.7,0.0,Premier League
West Ham,Arsenal,2,5,1.5,3.5,Premier League
Manchester Utd,Everton,4,0,1.1,0.6,Premier League
Tottenham,Fulham,1,1,0.8,1.5,Premier League
Chelsea,Aston Villa,3,0,1.6,1.2,Premier League
Liverpool,Manchester City,2,0,3.4,0.8,Premier League
Ipswich Town,Crystal Palace,0,1,0.5,1.6,Premier League
Leicester City,West Ham,3,1,1.7,3.0,Premier League
Newcastle Utd,Liverpool,3,3,2.1,1.9,Premier League
Everton,Wolves,4,0,1.0,0.8,Premier League
Manchester City,Nott'ham Forest,3,0,2.4,1.0,Premier League
