team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,league
Arsenal,24,26.4,54.8,24,264,"2,160",24.0,47,36,83,45,2,2,53,4,38.6,37.1,29.2,66.3,492,1088,1.96,1.50,3.46,1.87,3.38,1.61,1.22,2.83,1.55,2.76,Premier League
Aston Villa,25,27.6,50.3,24,264,"2,160",24.0,33,26,59,31,2,3,53,2,34.2,31.8,24.9,56.8,425,812,1.37,1.08,2.46,1.29,2.37,1.42,1.04,2.46,1.33,2.36,Premier League
Bournemouth,28,25.8,46.2,24,264,"2,160",24.0,41,30,71,35,6,7,61,0,45.6,40.1,30.7,70.8,469,960,1.71,1.25,2.96,1.46,2.71,1.90,1.28,3.18,1.67,2.95,Premier League
Brentford,27,26.5,47.9,24,264,"2,160",24.0,42,27,69,38,4,4,35,1,38.5,35.3,28.1,63.5,386,880,1.75,1.13,2.87,1.58,2.71,1.60,1.17,2.78,1.47,2.65,Premier League
Brighton,30,25.7,53.5,24,264,"2,160",24.0,34,22,56,33,1,1,54,1,32.3,31.5,22.9,54.4,535,1023,1.42,0.92,2.33,1.37,2.29,1.35,0.95,2.30,1.31,2.27,Premier League
Chelsea,27,24.1,58.1,24,264,"2,160",24.0,46,34,80,43,3,3,71,1,48.6,46.3,36.9,83.2,565,1000,1.92,1.42,3.33,1.79,3.21,2.03,1.54,3.57,1.93,3.47,Premier League
Crystal Palace,26,26.8,43.5,24,264,"2,160",24.0,27,21,48,25,2,2,48,1,33.7,32.2,25.8,58.0,322,772,1.13,0.87,2.00,1.04,1.92,1.41,1.08,2.48,1.34,2.42,Premier League
Everton,24,29.1,40.4,23,253,"2,070",23.0,20,12,32,19,1,1,48,1,24.4,23.6,18.4,42.0,301,625,0.87,0.52,1.39,0.83,1.35,1.06,0.80,1.86,1.03,1.83,Premier League
Fulham,25,28.5,52.8,24,264,"2,160",24.0,35,31,66,32,3,4,55,2,33.9,30.8,26.4,57.2,533,989,1.46,1.29,2.75,1.33,2.62,1.41,1.10,2.51,1.28,2.38,Premier League
Ipswich Town,31,26.4,40.8,24,264,"2,160",24.0,21,14,35,19,2,2,60,2,22.3,20.7,15.4,36.2,320,596,0.87,0.58,1.46,0.79,1.37,0.93,0.64,1.57,0.86,1.51,Premier League
Leicester City,28,27.2,46.0,24,264,"2,160",24.0,25,20,45,23,2,2,56,0,23.4,22.0,18.8,40.7,372,701,1.04,0.83,1.87,0.96,1.79,0.98,0.78,1.76,0.92,1.70,Premier League
Liverpool,24,27.7,57.7,23,253,"2,070",23.0,56,43,99,50,6,6,48,1,53.9,49.3,39.8,89.1,517,1180,2.43,1.87,4.30,2.17,4.04,2.34,1.73,4.07,2.14,3.87,Premier League
Manchester City,26,27.8,60.8,24,264,"2,160",24.0,47,35,82,46,1,2,46,1,44.2,42.5,37.0,79.5,735,1248,1.96,1.46,3.42,1.92,3.38,1.84,1.54,3.38,1.77,3.31,Premier League
Manchester Utd,25,26.2,54.0,24,264,"2,160",24.0,27,19,46,24,3,3,57,2,33.8,31.5,26.1,57.6,411,910,1.13,0.79,1.92,1.00,1.79,1.41,1.09,2.50,1.31,2.40,Premier League
Newcastle Utd,24,27.7,51.0,24,264,"2,160",24.0,41,31,72,39,2,3,48,1,41.3,38.9,32.0,70.9,465,997,1.71,1.29,3.00,1.62,2.92,1.72,1.33,3.05,1.62,2.95,Premier League
Nott'ham Forest,23,26.9,40.0,24,264,"2,160",24.0,39,28,67,36,3,3,55,2,31.7,29.4,22.8,52.2,418,686,1.62,1.17,2.79,1.50,2.67,1.32,0.95,2.27,1.22,2.17,Premier League
Southampton,33,26.1,51.6,24,264,"2,160",24.0,17,11,28,17,0,2,69,3,23.7,21.9,17.8,39.7,434,763,0.71,0.46,1.17,0.71,1.17,0.99,0.74,1.73,0.91,1.66,Premier League
Tottenham,29,25.8,57.3,24,264,"2,160",24.0,45,36,81,45,0,1,46,1,39.7,38.9,31.1,70.0,574,1119,1.87,1.50,3.38,1.87,3.38,1.65,1.30,2.95,1.62,2.92,Premier League
West Ham,26,28.9,46.5,24,264,"2,160",24.0,28,16,44,25,3,3,57,3,31.9,29.6,22.1,51.7,392,768,1.17,0.67,1.83,1.04,1.71,1.33,0.92,2.25,1.23,2.15,Premier League
Wolves,26,27.4,46.5,24,264,"2,160",24.0,34,28,62,34,0,0,55,2,25.7,25.7,21.2,46.9,374,739,1.42,1.17,2.58,1.42,2.58,1.07,0.88,1.95,1.07,1.95,Premier League
