,team,goals_per90,assists_per90,non_pen_goals_per90,xg_per90,xg_assist_per90,npxg_per90,yellow_cards_per_90,red_cards_per_90,progressive_carries_per_90,progressive_passes_per_90
0,Alavés,1.19,0.57,0.95,1.1,0.61,0.88,2.67,0.1,12.29,29.81
1,Angers,1.05,0.68,0.89,1.18,0.82,1.02,1.37,0.05,15.47,29.37
2,Arsenal,1.83,1.39,1.74,1.64,1.23,1.57,2.22,0.17,20.65,45.74
3,Aston Villa,1.43,1.13,1.35,1.47,1.07,1.36,2.17,0.09,17.52,33.43
4,Atalanta,2.14,1.55,2.0,1.67,1.23,1.53,2.05,0.0,22.18,48.41
5,Athletic Club,1.48,1.19,1.43,1.41,1.04,1.3,1.9,0.14,19.24,42.67
6,Atlético Madrid,1.67,1.33,1.62,1.72,1.31,1.65,2.29,0.05,19.62,42.9
7,Augsburg,1.21,0.79,1.16,1.06,0.7,0.98,2.68,0.11,12.63,34.05
8,Auxerre,1.32,0.95,1.21,1.2,0.93,1.08,2.0,0.21,13.84,33.58
9,Barcelona,2.76,2.0,2.62,2.58,2.04,2.43,1.67,0.1,22.19,56.67
10,Bayern Munich,2.95,1.89,2.58,2.43,1.72,2.15,1.53,0.0,26.05,65.32
11,Betis,1.0,0.67,0.86,1.41,1.0,1.27,2.19,0.14,15.67,38.14
12,Bochum,0.89,0.68,0.84,1.16,0.9,1.08,1.95,0.05,10.89,29.47
13,Bologna,1.57,1.1,1.38,1.3,0.8,1.11,1.62,0.14,16.38,40.71
14,Bournemouth,1.78,1.3,1.52,1.92,1.29,1.67,2.57,0.0,19.26,39.96
15,Brentford,1.83,1.17,1.65,1.58,1.16,1.45,1.52,0.04,15.78,36.17
16,Brest,1.53,0.95,1.21,1.28,0.73,0.95,1.95,0.05,13.79,31.74
17,Brighton,1.48,0.96,1.43,1.37,0.96,1.33,2.22,0.04,22.04,42.13
18,Cagliari,1.0,0.77,0.86,1.3,0.91,1.19,2.05,0.14,13.82,32.14
19,Celta Vigo,1.38,0.95,1.29,1.36,1.02,1.25,2.38,0.24,18.14,40.67
20,Chelsea,1.96,1.48,1.83,2.04,1.55,1.94,2.96,0.04,23.04,41.26
21,Como,1.05,0.91,1.05,1.19,0.96,1.12,2.18,0.14,17.5,35.0
22,Crystal Palace,1.09,0.87,1.0,1.36,1.05,1.29,2.04,0.04,13.65,32.7
23,Dortmund,1.74,1.26,1.53,1.41,1.05,1.25,2.37,0.26,20.58,43.26
24,Eint Frankfurt,2.32,1.58,2.16,1.97,1.42,1.84,1.58,0.05,18.74,38.53
25,Empoli,0.91,0.59,0.82,0.82,0.56,0.71,1.82,0.05,11.59,26.09
26,Espanyol,0.9,0.71,0.86,0.85,0.64,0.82,2.71,0.0,13.0,27.33
27,Everton,0.73,0.41,0.68,1.0,0.74,0.96,2.18,0.05,13.18,27.32
28,Fiorentina,1.62,1.05,1.38,1.38,0.95,1.16,2.0,0.1,18.67,36.48
29,Freiburg,1.32,0.95,1.32,1.23,0.76,1.11,1.63,0.11,12.74,31.95
30,Fulham,1.43,1.26,1.3,1.41,1.08,1.27,2.22,0.09,21.87,41.04
31,Genoa,0.86,0.59,0.86,1.06,0.74,0.98,2.05,0.0,12.14,26.36
32,Getafe,0.81,0.43,0.62,0.96,0.59,0.82,3.0,0.05,10.95,27.05
33,Girona,1.33,0.95,1.19,1.25,0.92,1.14,2.29,0.05,20.14,48.05
34,Gladbach,1.53,1.16,1.42,1.54,1.17,1.41,1.63,0.05,15.32,33.26
35,Heidenheim,1.26,0.79,1.11,1.33,0.94,1.2,2.0,0.05,14.84,29.11
36,Hellas Verona,1.05,0.77,0.95,0.99,0.77,0.92,2.77,0.32,12.23,27.41
37,Hoffenheim,1.32,0.74,1.21,1.31,1.0,1.23,1.95,0.05,14.42,38.32
38,Holstein Kiel,1.47,0.95,1.37,1.1,0.73,0.97,2.47,0.16,10.37,25.74
39,Inter,2.57,1.9,2.29,1.96,1.27,1.71,1.38,0.0,16.48,45.76
40,Ipswich Town,0.87,0.61,0.78,0.89,0.64,0.82,2.61,0.09,13.09,23.83
41,Juventus,1.5,1.05,1.32,1.38,0.95,1.24,1.86,0.05,23.5,38.82
